param m:=150;
param k:=3;
param d: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150:=
1  0.0 0.5385164807134628 0.5099019513592765 0.6480740698407873 0.14142135623729543 0.6164414002968998 0.5196152422706594 0.173205080756891 0.9219544457292856 0.46904157598234175 0.3741657386773949 0.3741657386773949 0.5916079783099568 0.9949874371066245 0.8831760866327854 1.1045361017187287 0.54772255750517 0.09999999999999006 0.7416198487095644 0.33166247903553914 0.4358898943540647 0.2999999999999938 0.6480740698407929 0.46904157598234175 0.5916079783099688 0.5477225575051635 0.31622776601684016 0.14142135623734567 0.14142135623729543 0.5385164807134496 0.5385164807134496 0.38729833462073987 0.6244997998398346 0.8062257748298541 0.46904157598234175 0.3741657386773854 0.4123105625617681 0.46904157598234175 0.8660254037844427 0.14142135623729543 0.1732050807568705 1.3490737563232016 0.7681145747868631 0.45825756949558494 0.6164414002969055 0.5916079783099628 0.36055512754640245 0.583095189484533 0.3000000000000057 0.2236067977499885 4.003748243833522 3.6166282640050276 4.164132562731407 3.093541659651605 3.7920970451717104 3.416138170507746 3.7854986461495423 2.345207879911715 3.749666651850536 2.8879058156387307 2.703701166919154 3.228002478313794 3.1464265445104544 3.699999999999999 2.58069758011279 3.6276714294434096 3.435112807463536 3.0099833886584793 3.7682887362833557 2.8827070610799166 3.853569773599539 3.075711299845939 4.047221268969614 3.657868231634375 3.416138170507746 3.5972211497209905 4.047221268969611 4.2449970553582235 3.531288716601916 2.4939927826679837 2.817800560721075 2.70185121722126 2.8948229652260236 4.135214625627067 3.4117444218463984 3.519943181359609 3.9115214431215897 3.618010503025112 3.0000000000000013 3.021588985947626 3.3120990323358397 3.5958309192730384 3.00998338865848 2.387467277262665 3.152776554086889 3.074085229787878 3.1256999216175574 3.345145736735549 2.0904544960366866 3.0577769702841313 5.284884104689527 4.208325082500161 5.301886456724627 4.690415759823431 5.056678751908214 6.095079983068309 3.591656999213596 5.636488268416782 5.0477717856495845 5.639148871948674 4.356604182158392 4.519955751995807 4.853864439804638 4.1904653679513935 4.417012565071556 4.626013402488151 4.645427859734773 6.24019230472908 6.498461356351981 4.141255848169733 5.12152321092075 4.0286474156967405 6.211280061307815 4.109744517606904 4.969909455915673 5.312249994117371 3.9774363602702683 4.007492981902775 4.8404545241123795 5.0970579749498635 5.546169849544819 6.01414998150196 4.8805737367649735 4.160528812542945 4.570557952810575 5.788782255362521 4.891829923454007 4.6065171225124075 3.8961519477556315 4.796873982084583 5.019960159204455 4.636809247747852 4.208325082500161 5.257375771237965 5.136146415358505 4.654030511288038 4.27668095606862 4.459820624195553 4.650806381693393 4.140048308896888
2  0.5385164807134628 0.0 0.3000000000000057 0.33166247903554985 0.6082762530298316 1.0908712114635704 0.5099019513592765 0.4242640687119282 0.5099019513592905 0.1732050807568705 0.8660254037844427 0.45825756949558494 0.14142135623732055 0.6782329983125327 1.360147050873545 1.6278820596099723 1.0535653752852736 0.5477225575051765 1.1747340124470682 0.836660026534073 0.7071067811865425 0.761577310586399 0.7810249675906742 0.5567764362829979 0.6480740698407929 0.2236067977499885 0.5 0.5916079783099628 0.4999999999999929 0.346410161513782 0.24494897427832246 0.6782329983125222 1.1489125293076028 1.3416407864998727 0.1732050807568705 0.3000000000000057 0.7874007874011795 0.1732050807568705 0.5099019513592835 0.45825756949558494 0.5291502622129192 0.8185352771872504 0.54772255750517 0.6782329983125327 0.9848857801796135 0.14142135623734567 0.8485281374238564 0.36055512754640245 0.8124038404635983 0.31622776601685143 4.096339829652808 3.6864617182333568 4.236744032862975 2.9698484809834995 3.8118237105091857 3.391164991562634 3.860051813123757 2.147091055358387 3.7881393849751612 2.8053520278211073 2.4617067250182347 3.2449961479175906 3.0413812651491097 3.712142238654115 2.5592967784139464 3.6999999999999997 3.433656942677882 2.9715315916207223 3.6918829883949478 2.7928480087537904 3.8935844667863564 3.0740852297878787 4.018706259482024 3.656501059756443 3.4467375879228186 3.6510272527057364 4.080441152620632 4.295346318982904 3.5383612025908278 2.418677324489564 2.6999999999999984 2.578759391645524 2.854820484724038 4.117037770047781 3.3985290935932864 3.5972211497209914 3.9786932528155536 3.558089374931441 2.9983328701129914 2.9291637031753615 3.2434549480453727 3.622154055254965 2.954657340538831 2.1794494717703383 3.1032241298365806 3.0789608636681276 3.1144823004794877 3.3645207682521456 1.9131126469709019 3.029851481508622 5.338539126015656 4.180908992073373 5.357238094391549 4.708502946797421 5.091168824543144 6.159545437773796 3.479942528261063 5.686826883245171 5.0408332644514235 5.747173218200406 4.419275958796871 4.521061822182926 4.9020403915104565 4.134005321718878 4.402272140611029 4.680811895387381 4.682947789587238 6.369458375717672 6.531462317123174 4.062019202317982 5.190375708944392 4.002499219237901 6.2617888817813085 4.106093033529564 5.042816673249188 5.389805191284747 3.981205847478876 4.031128874149275 4.851803788283281 5.158488150611574 5.591958512006325 6.154673021371648 4.891829923454004 4.168932717135165 4.547526800360829 5.860034129593443 4.9598387070549 4.6508063816933936 3.9153543900903767 4.860041152089147 5.0724747411889615 4.702127178203501 4.180908992073373 5.32071423776921 5.206726418777927 4.699999999999999 4.249705872175156 4.498888751680798 4.718050444834177 4.153311931459036
3  0.5099019513592765 0.3000000000000057 0.0 0.24494897427830795 0.5099019513592765 1.0862780491200248 0.2645751311064596 0.4123105625617595 0.4358898943540647 0.31622776601681774 0.8831760866327814 0.3741657386774044 0.2645751311064596 0.5 1.3638181696985827 1.587450786638753 1.009950493836213 0.5196152422706594 1.2369316876852958 0.7549834435270751 0.8306623862918019 0.6999999999999963 0.5099019513592835 0.6480740698407819 0.6403124237432878 0.4690415759823493 0.5099019513592835 0.6164414002968998 0.54772255750517 0.3000000000000057 0.33166247903556056 0.781024967590656 1.053565375285267 1.2845232578665096 0.31622776601681774 0.31622776601682895 0.8544003745317513 0.31622776601681774 0.36055512754639263 0.48989794855662316 0.4358898943540647 0.92736184954957 0.2999999999999938 0.6557438524302053 0.9591663046625485 0.264575131106473 0.7810249675906742 0.14142135623732055 0.8062257748298541 0.33166247903553914 4.27668095606862 3.8496753109840345 4.4158804331639265 3.1543620591175 3.997499218261339 3.5510561809129406 4.011234224026317 2.3065125189341593 3.9749213828703596 2.9495762407505244 2.647640458974746 3.4029399054347107 3.258834147360063 3.879432948254164 2.7202941017470885 3.8807215823864496 3.5749125863438955 3.152776554086887 3.8961519477556323 2.9782545223670867 4.031128874149273 3.2588341473600644 4.207136793592528 3.8314488121336026 3.6318039594669753 3.834057902536163 4.273172123844296 4.4698993277254 3.702701716314723 2.615339366124402 2.8879058156387307 2.7712812921102024 3.036445290137793 4.28252262107277 3.529872518944558 3.7322915213043037 4.154515615568198 3.7669616403674744 3.1464265445104553 3.1032241298365792 3.407345007480164 3.7854986461495397 3.1400636936215127 2.3537204591879637 3.2680269276736382 3.232645975048922 3.2726136343907157 3.5425979167836696 2.085665361461423 3.195309061734093 5.472659317004851 4.3347433603386465 5.529014378711634 4.868264577855233 5.246903848937963 6.336402764976355 3.6083237105337425 5.866003750424985 5.224940191045253 5.89406481131655 4.573838650411709 4.693612681080533 5.0695167422546294 4.291852746774987 4.544227107000706 4.827007354458869 4.8456165758342875 6.520736154760443 6.717886572427374 4.250882261366457 5.348831648126532 4.143669871020134 6.446704584514479 4.281354925721531 5.19422756528822 5.558776843874919 4.149698784249284 4.185689907291271 5.014977567247932 5.338539126015656 5.7775427302617155 6.312685640834654 5.053711507397312 4.341658669218481 4.716990566028299 6.040695324215581 5.092150822589606 4.806245936279168 4.066939881532548 5.026927491022722 5.228766584960549 4.868264577855235 4.3347433603386465 5.4753995288015265 5.353503525729669 4.864154602806123 4.430575583375144 4.661544808322667 4.848711168960261 4.298837052040932
4  0.6480740698407873 0.33166247903554985 0.24494897427830795 0.0 0.6480740698407764 1.1661903789690629 0.33166247903553914 0.5 0.3000000000000057 0.31622776601682895 1.0 0.3741657386773949 0.26457513110644615 0.5196152422706662 1.5297058540778365 1.714642819948226 1.1661903789690569 0.6557438524301998 1.3228756555322954 0.8660254037844386 0.8774964387392099 0.8062257748298541 0.7071067811865425 0.6480740698407873 0.538516480713443 0.42426406871193656 0.54772255750517 0.7211102550928049 0.6782329983125222 0.17320508075691152 0.2236067977499885 0.8774964387392059 1.1704699910719614 1.4247806848774986 0.31622776601682895 0.5099019513592765 1.0049875621120845 0.31622776601682895 0.3000000000000057 0.5830951894845208 0.6082762530298081 0.8366600265340772 0.3000000000000057 0.7000000000000014 0.9695359714832646 0.2645751311064596 0.8660254037844427 0.14142135623729543 0.9219544457292856 0.45825756949558494 4.177319714841085 3.7336309405188963 4.3058100283222 2.984962311319859 3.872983346207418 3.3926390907374744 3.8897300677553472 2.111871208194286 3.8548670534792775 2.7784887978899606 2.4515301344262492 3.2680269276736404 3.108054053584009 3.7376463182061506 2.5806975801127874 3.776241517699839 3.4205262752974153 2.9999999999999987 3.7496666518505344 2.8160255680657444 3.8923000912057106 3.130495168499705 4.062019202317981 3.6851051545376547 3.511409973215886 3.722902093797256 4.1545156155681955 4.349712634186308 3.562302626111376 2.469817807045691 2.7202941017470885 2.603843313258309 2.891366458960191 4.127953488110059 3.3674916480965478 3.6069377593742864 4.042276586281549 3.6262928728937487 2.996664812754341 2.9376861643136767 3.235737937472686 3.648287269390939 2.9899832775452104 2.163330765278392 3.1080540535840124 3.083828789021856 3.1224989991992 3.413209633175202 1.915724406066804 3.0446674695276665 5.3357286287816414 4.177319714841084 5.406477596365307 4.722287581247037 5.109794516416487 6.215303693304133 3.4205262752974135 5.738466694161427 5.081338406364999 5.784461945591827 4.451965857910413 4.553020975132884 4.945705207551295 4.130375285612677 4.396589587396124 4.701063709417263 4.709564735726647 6.414047084329832 6.590144156238162 4.0877866871939394 5.229722745997152 3.9862262855989505 6.322973983814896 4.143669871020133 5.069516742254632 5.438749856354859 4.012480529547775 4.047221268969612 4.873397172404482 5.217278984298234 5.655086206239477 6.215303693304134 4.913247398615299 4.198809355043403 4.555216789572147 5.932115979985556 4.962862077471025 4.669047011971501 3.9268307832143696 4.910193478876367 5.104899607240088 4.760252094164762 4.177319714841084 5.3497663500381005 5.232590180780454 4.7455242070818695 4.288356328478312 4.533210782657255 4.719110085598764 4.149698784249285
5  0.14142135623729543 0.6082762530298316 0.5099019513592765 0.6480740698407764 0.0 0.6164414002968998 0.45825756949557717 0.2236067977499726 0.9219544457292933 0.5291502622129057 0.42426406871193656 0.3464101615137615 0.6403124237432822 0.9746794344808979 0.9165151389911699 1.0862780491200215 0.54772255750517 0.1732050807568705 0.7937253933193743 0.26457513110644615 0.538516480713443 0.2645751311064596 0.5656854249492382 0.5291502622129057 0.5744562646538014 0.6324555320336803 0.34641016151377174 0.24494897427832246 0.282842712474616 0.5385164807134496 0.5744562646537952 0.4999999999999929 0.5567764362829979 0.7810249675906605 0.5291502622129057 0.44721359549995315 0.5196152422706594 0.5291502622129057 0.8544003745317597 0.24494897427829343 0.1732050807568705 1.3999999999999977 0.7280109889280526 0.45825756949558494 0.583095189484533 0.6403124237432878 0.2999999999999938 0.565685424949232 0.33166247903553914 0.2999999999999938 4.06078810084939 3.6633318168028435 4.219004621945799 3.1480152477394383 3.8496753109840336 3.4568772034887223 3.824918299781056 2.387467277262665 3.807886552931955 2.9223278392404928 2.758622844826743 3.2710854467592267 3.218695387886215 3.7456641600656075 2.6267851073127404 3.6851051545376547 3.466987164671946 3.062678566222709 3.834057902536164 2.9376861643136767 3.884584919911006 3.1336879231984787 4.103656905736639 3.706750598570126 3.474190553208044 3.655133376499414 4.108527716834826 4.296510211788167 3.5763109484495352 2.5573423705088842 2.8740215726399825 2.7604347483684517 2.9495762407505244 4.178516483155236 3.43802268753422 3.5510561809129415 3.9648455203198028 3.6864617182333537 3.0364452901377965 3.0708305065568173 3.3541019662496856 3.640054944640258 3.0659419433511768 2.4372115213907874 3.196873472629156 3.112876483254676 3.1670175244226244 3.3985290935932886 2.142428528562854 3.1032241298365806 5.313191131514093 4.246174749112428 5.350700888668698 4.730750469005948 5.096076922496365 6.1457302251237795 3.616628264005026 5.687706040223949 5.10098029794274 5.676266378527352 4.397726685459204 4.568369512200167 4.901020301937138 4.230839160261238 4.450842616853579 4.662617290749907 4.688283267892417 6.278534860936906 6.5536249511243785 4.196427051671458 5.164300533470142 4.0607881008493925 6.265780079128218 4.160528812542945 5.007993610219567 5.359104402789706 4.024922359499621 4.047221268969612 4.883646178829912 5.149757275833496 5.6017854296643685 6.057227088363124 4.92341345003647 4.208325082500163 4.61410879802373 5.843800133474793 4.920365840057018 4.645427859734773 3.9344631145812 4.8445846055157284 5.061620293937506 4.686149805543994 4.246174749112428 5.297169055259609 5.173006862551027 4.701063709417263 4.330127018922193 4.504442251822083 4.678675026115831 4.17372735094184
6  0.6164414002968998 1.0908712114635704 1.0862780491200248 1.1661903789690629 0.6164414002968998 0.0 0.994987437106621 0.7000000000000116 1.4594519519326383 1.0099504938362094 0.3464101615137923 0.8124038404635983 1.1618950038622196 1.571623364550173 0.6782329983125275 0.6164414002969055 0.39999999999999575 0.5916079783099688 0.33166247903554985 0.3872983346207582 0.5385164807134496 0.41231056256178533 1.1224972160321784 0.6782329983125275 0.8306623862918104 1.0099504938362094 0.6480740698407983 0.5291502622129259 0.6480740698407819 1.0148891565092295 1.0246950765959584 0.5385164807134563 0.4582575694955927 0.4795831523312613 1.0099504938362094 0.969535971483272 0.6082762530298199 1.0099504938362094 1.4177446878757793 0.6480740698407929 0.7000000000000065 1.8814887722226776 1.3000000000000018 0.6082762530298257 0.3741657386774044 1.1269427669584626 0.38729833462074903 1.1224972160321816 0.36055512754640245 0.8062257748298585 3.612478373637688 3.2465366161495885 3.786819245752298 2.9444863728670905 3.4698703145794934 3.1543620591174992 3.407345007480164 2.328089345364562 3.414674215792772 2.705549851693737 2.7147743920996463 2.918903903865284 2.9832867780352603 3.3896902513356557 2.3366642891095846 3.2588341473600613 3.1464265445104553 2.7784887978899606 3.5468295701936396 2.707397274136179 3.508560958569767 2.7928480087537864 3.7709415269929605 3.3674916480965456 3.0935416596516006 3.246536616149584 3.712142238654115 3.883297567789518 3.226453160980333 2.3194827009486394 2.67581763205193 2.5729360660537224 2.660826939130014 3.847076812334267 3.140063693621515 3.144837038703278 3.5411862419251516 3.3867388443752198 2.7239676943752476 2.840774542268357 3.103224129836582 3.2726136343907113 2.789265136196272 2.374868417407585 2.9223278392404914 2.7910571473905725 2.854820484724038 3.0347981810987004 2.0566963801203144 2.805352027821106 4.906118628814431 3.9255572852781038 4.922397789695585 4.356604182158391 4.697871858618537 5.705260730238365 3.426368339802364 5.2659282182726335 4.734976240700685 5.205766033928147 3.977436360270269 4.201190307520002 4.483302354291976 3.9370039370059073 4.114608122288196 4.2497058721751575 4.291852746774985 5.791372894228104 6.134329629226001 3.917907604831946 4.727578661429125 3.748332962798266 5.836094584565949 3.801315561749643 4.57602447545902 4.917316341257699 3.6633318168028386 3.6742346141747673 4.506661735697499 4.722287581247038 5.17880295048962 5.559676249567058 4.545327270945404 3.8457769046058794 4.2883563284783115 5.391660226683427 4.502221673796172 4.2473521163190595 3.569313659514947 4.41248229458204 4.641120554348916 4.249705872175154 3.9255572852781038 4.868264577855233 4.739198244429115 4.284857057125708 3.9887341350358256 4.102438299353203 4.264973622427222 3.8183766184073544
7  0.5196152422706594 0.5099019513592765 0.2645751311064596 0.33166247903553914 0.45825756949557717 0.994987437106621 0.0 0.4242640687119198 0.5477225575051765 0.47958315233127613 0.8660254037844386 0.299999999999982 0.4898979485566304 0.6164414002969055 1.3601470508735474 1.4933184523068115 0.9539392014169475 0.5099019513592765 1.2083045973594546 0.6480740698407873 0.8602325267042598 0.6000000000000054 0.45825756949558494 0.6244997998398403 0.5477225575051635 0.608276253029814 0.45825756949558494 0.6244997998398403 0.6082762530298257 0.31622776601684016 0.4242640687119282 0.8124038404635983 0.9486832980505131 1.2083045973594575 0.47958315233127613 0.4999999999999929 0.9165151389911699 0.47958315233127613 0.4690415759823493 0.5196152422706594 0.4242640687119282 1.1090536506409434 0.31622776601685143 0.54772255750517 0.8185352771872547 0.44721359549995315 0.6782329983125275 0.2236067977499726 0.7745966692414797 0.4242640687119282 4.2308391602612385 3.7854986461495423 4.366921112179612 3.1272991542223783 3.9560080889704983 3.4899856733230314 3.9344631145812037 2.278157149978906 3.9357337308308855 2.8827070610799153 2.6495282598983545 3.3361654635224536 3.263433774416146 3.82099463490856 2.66270539113887 3.8353617821530213 3.4942810419312296 3.116087290176577 3.8794329482541654 2.949576240750527 3.9420806688854046 3.2202484376209246 4.17013189239861 3.7828560638755486 3.591656999213596 3.7907782842049746 4.239103678845328 4.414748010928825 3.6414282912066245 2.5980762113533173 2.8653097563788834 2.754995462791187 2.99833287011299 4.222558466143483 3.4423828956117024 3.6414282912066285 4.102438299353204 3.7549966711037195 3.0740852297878787 3.0626785662227114 3.355592347112505 3.722902093797256 3.1064449134018144 2.338803112705303 3.214031735997639 3.165438358268882 3.209361307176243 3.4957116585897077 2.063976744055032 3.140063693621517 5.375872022286246 4.263801121065568 5.468089245796927 4.798958220280732 5.17107338953916 6.2801273872430325 3.531288716601918 5.813776741499455 5.1797683345879495 5.807753438292642 4.497777228809803 4.636809247747853 5.004997502496879 4.227292277569651 4.4609416046390935 4.7423622805517525 4.778074926160115 6.439720490828777 6.670832032063169 4.219004621945798 5.274466797696239 4.062019202317983 6.399218702310464 4.228474902373197 5.113707070218239 5.49636243346452 4.090232267243511 4.112177038990418 4.947726750741194 5.288667128870942 5.731491952362841 6.240192304729079 4.9849774322458105 4.287190222045203 4.662617290749905 5.988321968631948 4.993996395673511 4.731807265728393 3.9912404086950213 4.96185449202211 5.152669211195302 4.803123983409133 4.263801121065568 5.397221507405454 5.267826876426372 4.796873982084584 4.384062043356596 4.593473631142342 4.749736834815167 4.217819341792627
8  0.173205080756891 0.4242640687119282 0.4123105625617595 0.5 0.2236067977499726 0.7000000000000116 0.4242640687119198 0.0 0.787400787401184 0.33166247903553914 0.5000000000000142 0.2236067977499726 0.4690415759823266 0.9055385138137378 1.0440306508910566 1.2369316876853016 0.7000000000000014 0.19999999999999787 0.8366600265340772 0.4242640687119198 0.4472135954999611 0.3741657386774044 0.6708203932499337 0.38729833462074903 0.4472135954999452 0.4123105625617681 0.2236067977499885 0.2236067977500044 0.2236067977499726 0.3741657386774044 0.3741657386774044 0.44721359549995315 0.7348469228349529 0.9486832980505131 0.33166247903553914 0.36055512754640245 0.5477225575051635 0.33166247903553914 0.748331477354785 0.09999999999995453 0.24494897427830795 1.228820572744447 0.6633249580710783 0.42426406871194494 0.608276253029814 0.46904157598233415 0.4242640687119282 0.45825756949557717 0.42426406871193656 0.14142135623732055 3.9648455203198036 3.5623026261113777 4.117037770047783 2.986636904613616 3.7296112397943055 3.3256578296631796 3.7282703764614515 2.2113344387495983 3.691882988394947 2.7802877548915697 2.5690465157330262 3.1543620591175023 3.0545048698602537 3.6249137920783707 2.495996794869738 3.581898937714462 3.3481338085566414 2.9206163733020456 3.6837480912787743 2.7820855486487113 3.781534080237806 3.004995840263344 3.968626966596887 3.5791060336346554 3.3555923471125033 3.5454195802471653 3.9912404086950195 4.18927201313068 3.4554305086342 2.4020824298928605 2.711088342345192 2.5942243542145715 2.8089143810376265 4.050925820105819 3.3181320046074125 3.4583232931581165 3.8613469152615667 3.538361202590827 2.9137604568666933 2.9189039038652855 3.209361307176241 3.524202037341216 2.9206163733020443 2.2561028345356933 3.0577769702841326 2.9899832775452104 3.0397368307141353 3.277193921634788 1.9697715603592216 2.969848480983502 5.219195340279955 4.120679555607302 5.247856705360769 4.616275555033516 4.989989979949859 6.044832503882964 3.4741905532080417 5.5803225713214815 4.974937185533099 5.597320787662611 4.300000000000001 4.447471191587416 4.7968739820845805 4.097560249709577 4.335896677735762 4.5661800227323495 4.579301256742124 6.20403094769844 6.442049363362563 4.047221268969614 5.0695167422546294 3.939543120718444 6.158733636065132 4.037325847637271 4.914264950122247 5.262128846769149 3.905124837953326 3.9357337308308837 4.768647607026546 5.044799302251776 5.492722457943784 5.984981202978002 4.809365862564421 4.086563348340511 4.483302354291975 5.746303159423455 4.831148931672465 4.539823785126467 3.8223029707232756 4.745524207081869 4.9628620774710255 4.590206967011403 4.120679555607302 5.200961449578336 5.082322303829226 4.5989129150267685 4.199999999999999 4.397726685459205 4.589117562233504 4.060788100849389
9  0.9219544457292856 0.5099019513592905 0.4358898943540647 0.3000000000000057 0.9219544457292933 1.4594519519326383 0.5477225575051765 0.787400787401184 0.0 0.5567764362830042 1.2845232578665151 0.670820393249939 0.4242640687119282 0.346410161513782 1.791647286716894 1.9974984355438183 1.431782106327632 0.9273618495495662 1.6124515496597083 1.1489125293076028 1.157583690279018 1.0862780491200215 0.8306623862918104 0.9110433579144289 0.8124038404635939 0.6403124237432933 0.8306623862918104 1.0049875621120916 0.9433981132056607 0.4690415759823493 0.48989794855663765 1.1401754250991336 1.4491376746189395 1.7029386365926398 0.5567764362830042 0.7000000000000014 1.256980508997653 0.5567764362830042 0.14142135623732055 0.8660254037844305 0.8602325267042639 0.6244997998398459 0.31622776601684016 0.9591663046625485 1.2609520212918506 0.42426406871193656 1.1575836902790209 0.36055512754640245 1.2083045973594606 0.7211102550928 4.379497688091637 3.923009049186609 4.497777228809807 3.0886890422961013 4.043513323831148 3.538361202590827 4.076763422127903 2.179449471770337 4.036087214122115 2.8930952282978875 2.4939927826679837 3.433656942677879 3.232645975048922 3.901281840626231 2.7367864366808035 3.9711459303329546 3.570714214271426 3.1511902513177437 3.876854394996027 2.9427877939124327 4.057092555020159 3.296968304366906 4.208325082500164 3.8457769046058803 3.6905284174491886 3.9102429592034302 4.3324358044868925 4.5287967496896995 3.722902093797258 2.6134268690743943 2.83372546306095 2.718455443813636 3.041381265149109 4.272001872658765 3.508560958569767 3.7920970451717086 4.232020793899766 3.765634076752548 3.1543620591175 3.0561413579872245 3.361547262794323 3.8183766184073553 3.132091952673163 2.229349680960795 3.2449961479175906 3.246536616149584 3.277193921634788 3.5860842154082224 2.004993765576343 3.193743884534262 5.497272050753901 4.31045241245046 5.582114294781145 4.87954915950234 5.270673581241776 6.395310782127791 3.5028559776273993 5.914389233048497 5.231634543811332 5.975784467331464 4.629254799641083 4.705316142407436 5.117616632769592 4.248529157249602 4.5276925690687095 4.86929152957594 4.877499359302878 6.617401302626282 6.7557383016218155 4.207136793592527 5.407402333838311 4.115823125451338 6.498461356351981 4.296510211788167 5.248809388804285 5.625833271614083 4.16773319683494 4.208325082500163 5.025932749251625 5.40092584655631 5.830094338859364 6.426507605223853 5.064582904840241 4.358898943540673 4.6968074263269495 6.11555394056826 5.132250968142537 4.838388161361177 4.085339643163098 5.089204259999788 5.273518749374085 4.9386232899463 4.31045241245046 5.52358579185659 5.40647759636531 4.914264950122246 4.42944691807002 4.701063709417263 4.888762624632124 4.302324952859789
10  0.46904157598234175 0.1732050807568705 0.31622776601681774 0.31622776601682895 0.5291502622129057 1.0099504938362094 0.47958315233127613 0.33166247903553914 0.5567764362830042 0.0 0.7874007874011749 0.3464101615137615 0.173205080756891 0.7280109889280526 1.3114877048603997 1.5556349186104028 1.0099504938362023 0.5000000000000071 1.1000000000000036 0.7549834435270799 0.624499799839829 0.7000000000000014 0.7745966692414751 0.5291502622129326 0.5196152422706457 0.20000000000001564 0.4472135954999691 0.5099019513592695 0.4472135954999452 0.2645751311064596 0.1732050807568705 0.6557438524301891 1.0440306508910533 1.2609520212918421 0.0 0.34641016151377174 0.754983443527061 0.0 0.5567764362829979 0.3741657386773759 0.4999999999999929 0.9380831519646873 0.5567764362829914 0.6557438524301998 0.8831760866327854 0.2645751311064596 0.7416198487095692 0.3464101615137615 0.7280109889280428 0.2645751311064596 4.043513323831147 3.635931792539571 4.185689907291271 2.9478805945967324 3.7709415269929614 3.34215499341368 3.806573262134858 2.1307275752662496 3.738983819167981 2.774887385102322 2.455605831561734 3.203123475609395 3.0133038346638714 3.6619666847201096 2.525866188063017 3.6523964735499326 3.3852621759621515 2.9223278392404914 3.6687872655688283 2.758622844826743 3.8457769046058803 3.036445290137793 3.9799497484264794 3.602776706930364 3.401470270338988 3.6055512754639882 4.0348482003664 4.249705872175155 3.4942810419312296 2.3874672772626635 2.672077843177476 2.549509756796394 2.817800560721075 4.0718546143004675 3.349626844888845 3.542597916783671 3.929376540877701 3.5284557528754696 2.9495762407505244 2.899999999999998 3.198437118343895 3.570714214271424 2.918903903865284 2.1679483388678804 3.06267856622271 3.024896692450836 3.067572330035594 3.318132004607409 1.9104973174542796 2.988310559496787 5.292447448959697 4.143669871020133 5.311308689955801 4.658325879540846 5.046781152378218 6.108191221630181 3.4525353003264128 5.632938842203064 4.997999599839918 5.697367813297645 4.374928570845471 4.482186966202994 4.8600411520891456 4.106093033529561 4.376071297408213 4.641120554348919 4.632493928760188 6.307138812488591 6.487680633323438 4.028647415696737 5.146843692983109 3.968626966596887 6.211280061307815 4.070626487409524 4.991993589739476 5.332916650389355 3.9446165846632018 3.987480407475377 4.811444689487764 5.10294032886923 5.544366510251644 6.091797764207213 4.8538644398046396 4.119465984809197 4.493328387732191 5.818075283115542 4.914264950122247 4.597825573029059 3.872983346207414 4.817675788178361 5.033885179461288 4.669047011971502 4.143669871020133 5.2744667976962365 5.165268628057984 4.666904755831214 4.220189569201838 4.457577817604535 4.672258554489465 4.106093033529561
