param DistanceMatrix:
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 :=
1 0.000000 3.497535 3.026608 2.842505 3.566854 2.525290 2.553232 2.407784 2.964349 2.548898 2.772406 3.409868 3.371329 3.885125 3.447945 3.071188 2.720223 3.051495 3.559909 2.499925 1.287893 3.640689 2.430159 3.490053 3.289695 4.908840 3.355935 3.943721 2.940050 2.602766 3.610074 3.026925 3.005121 3.418954 3.018869 2.815687 3.373442 3.793622 3.872716 2.680920 1.879877 4.299769 2.704624 3.883177 2.753547 3.380186 2.722135 2.578817 2.615409 2.620939 3.979096 2.926649 2.697219 2.714996 2.098136 2.418172 1.564057 3.106808 2.794038 7.992326 6.864270 6.448988 5.288722 5.008835 6.026541 4.359730 5.086657 5.764738 5.673332 5.266720 6.029466 5.162658 5.570212 5.125053 4.638793 6.315795 5.697598 5.827856 4.597540 4.981063 5.901792 4.332998 6.421520 6.653598 4.921571 4.552839 6.175530 6.555646 6.126874 6.475584 6.364008 6.316425 6.619714 5.103038 5.304041 4.691395 5.841421 5.247605 4.704821 5.521231 5.319403 5.796018 4.909710 6.238677 5.060484 6.440828 5.544587 6.114463 5.354458 4.795165 6.099717 5.589552 6.372433 6.201217 5.916317 7.150053 5.881161 5.059217 6.968930 5.827614 4.920854 6.798949 6.256329 6.199264 6.010887 5.549857 5.354630 7.060519 5.782441 6.577774 5.910259 6.435687 7.055493 6.548424 6.849643 6.987926 7.964893 8.022245 6.910590 6.393501 6.548632 6.200980 6.876389 6.423600 6.228895 6.422740 8.305978 7.391762 6.572759 6.714773 6.529310 6.778927 6.326107 6.780907 6.732642 7.506492 6.742942 7.514895 6.669569 6.554185 7.172335 5.947140 6.495119 6.214673 6.792466 7.247603 6.320700 6.909157 6.048926 6.621593 7.034650 7.609047 6.360783 7.226417 6.296513 6.490941 6.078781 7.184421
2 3.497535 0.000000 4.142912 4.360615 4.627470 3.391756 2.665379 3.324407 2.692454 2.501210 3.704748 2.681881 2.597670 4.161942 4.317968 3.549154 4.425029 4.099658 4.296552 2.914203 3.264410 3.801088 2.253203 2.589816 3.419217 6.374287 2.610749 2.267652 3.943021 2.245420 4.769006 3.523699 2.977396 4.647198 3.284319 3.203322 3.206372 2.922521 1.857356 3.955547 3.237652 3.183152 2.863394 3.353588 2.524855 3.717532 3.289981 2.679502 3.592958 3.512337 3.425623 3.421334 3.270408 3.588922 2.450655 4.047656 3.082417 3.089198 3.516437 5.263862 5.213356 4.816575 3.561285 4.027028 5.044048 3.883898 3.699580 3.916821 4.494762 5.621844 5.017260 5.512963 4.772824 6.820477 3.969090 4.341018 3.816893 4.544520 4.763553 5.037555 4.361877 3.072619 5.472683 6.039161 4.418454 3.409154 5.274763 6.010800 4.947302 5.246812 4.974421 5.457605 5.548908 4.004515 3.916464 6.348474 5.963137 3.408513 3.697022 5.074454 3.428269 4.079464 4.227577 4.508420 3.669182 5.751641 4.049593 5.286897 4.339311 4.701057 6.148802 4.277494 5.792298 5.082007 4.909237 6.222934 4.449249 4.640817 4.980250 4.459875 4.205906 7.955465 6.477658 5.713167 5.858436 4.296454 4.679090 7.071598 5.328651 5.424035 5.076441 5.442980 6.273915 5.621150 5.467187 5.797138 6.822338 7.609434 5.786362 5.937498 5.808985 5.000204 6.352790 5.552512 5.368942 5.637300 7.121341 6.517421 5.992510 6.421749 6.845495 6.623924 6.729482 6.466063 5.969555 7.076844 6.287176 7.324858 7.777605 6.898844 6.190766 5.430577 6.074320 5.247113 6.183113 6.586075 6.555878 5.864864 6.346339 6.921394 5.678651 6.434187 5.971547 6.712249 6.108393 6.396900 6.094927 7.367719
3 3.026608 4.142912 0.000000 3.246486 2.981107 2.867788 2.840197 3.471078 3.561492 2.938668 2.524301 3.368382 2.663370 3.642778 3.310958 3.016180 2.660038 2.800730 3.513128 3.120081 3.404682 2.715760 2.971081 3.038069 2.912962 4.175510 2.745258 3.700304 2.696580 2.988994 2.041702 2.532094 2.808802 4.050547 2.758691 2.357637 3.256224 2.985030 3.863673 3.921663 2.643527 3.681215 2.925104 3.539501 2.930852 3.699232 2.882279 2.963814 1.932297 2.772953 3.374583 2.047642 3.249778 2.721533 3.256676 2.026069 2.998717 2.226287 2.595768 8.325583 6.702377 6.384655 5.605770 4.300654 5.619033 3.122495 4.877251 5.469057 5.943851 6.283787 5.411112 4.330288 5.174151 5.097809 4.002270 6.015990 5.742244 5.651751 5.041128 4.040045 5.534285 3.553841 5.201356 5.559205 3.839881 4.543869 5.200895 5.424635 4.884134 5.334373 5.331684 5.291458 5.673878 4.381650 4.821313 5.272058 5.579077 4.748751 3.865557 4.284491 5.229015 5.574411 4.352979 5.597816 4.630863 5.840451 4.784146 5.169958 4.889463 3.125081 5.085468 4.995838 5.429411 5.056204 5.061839 6.076747 5.307994 4.815997 6.550518 4.996318 3.768570 5.743619 5.140877 5.273076 4.430987 4.802335 4.367437 5.537093 4.703818 5.251204 6.030970 5.990553 6.380560 5.979378 6.114888 6.431050 6.890936 6.926653 6.436425 5.710113 5.955595 5.870220 6.356095 5.848452 5.859302 5.902604 7.736456 6.475078 5.792571 6.265336 6.202975 6.291766 5.634133 6.077936 6.320767 6.529754 6.024002 6.373575 5.769626 5.420678 6.162953 5.713132 5.952308 5.877958 6.274191 6.581247 5.657815 6.188039 5.269699 5.918033 6.489050 7.067099 5.879301 6.545884 5.464904 6.253677 5.851793 6.353885
4 2.842505 4.360615 3.246486 0.000000 4.495957 1.905071 3.161292 3.351492 3.469290 2.723190 2.695137 4.013543 3.485693 4.077670 2.896999 3.243510 2.906122 3.249031 2.444675 3.552595 3.275931 4.632053 3.684218 4.369849 4.354272 5.789878 3.397095 4.376496 3.817294 3.538807 3.399972 2.574179 4.268896 4.224951 3.970084 3.544994 4.301015 4.342812 4.774971 3.809447 3.018846 4.606254 2.453613 4.613550 3.509542 3.615430 2.915244 2.777206 3.028074 2.512169 4.216716 3.458214 1.882835 2.839859 3.117626 2.757301 2.316036 2.919859 1.738663 8.931276 7.844913 7.305688 6.332748 5.435460 7.428221 5.302573 5.694721 6.675310 6.505721 7.247919 7.146403 5.803031 6.445712 5.795367 4.939169 7.602941 6.820629 7.182680 6.386285 5.959130 7.131755 5.339329 7.308117 7.349468 5.946318 6.081635 7.344735 7.599012 6.966986 7.216417 7.485780 7.485935 7.638873 6.338860 6.188875 6.369149 7.192784 6.303499 4.808320 6.572505 6.463549 7.093577 5.843224 7.083566 6.092393 7.653834 6.703009 7.151963 6.525817 5.551295 6.679010 6.401446 7.453927 6.999831 6.653483 8.300663 7.011160 6.566547 7.775233 6.924674 5.529309 7.098686 7.172043 6.695936 6.495545 6.330807 5.857186 7.744157 6.711574 7.125957 6.929259 7.206065 7.668357 7.109789 7.388001 7.570423 8.493913 8.545125 7.573180 6.968816 7.367296 6.855910 7.662996 7.074398 6.849275 7.093862 8.865443 7.611792 6.742830 7.168851 7.064707 7.119945 6.692988 7.054797 7.413030 7.752917 7.023071 7.696024 6.293220 6.308892 7.289731 6.726688 7.377508 7.040175 7.176749 7.879006 6.690963 7.204075 6.484274 6.832323 7.842215 7.991604 6.597224 7.501526 6.647583 6.888855 6.626637 7.275197
5 3.566854 4.627470 2.981107 4.495957 0.000000 3.889157 3.984090 2.975026 4.438478 4.045985 4.242367 4.018027 3.871626 5.128622 5.426441 3.113720 2.615503 2.431386 4.734322 2.980397 3.555201 2.508013 3.445266 3.146482 2.641328 2.136102 3.153308 4.176844 1.918359 3.902469 3.053183 3.878407 2.899542 2.830102 2.183151 2.698253 2.240641 2.873735 4.102627 3.847668 3.151523 3.996625 3.746632 3.115125 3.584499 3.164156 3.840557 4.188197 3.007090 3.998343 5.515912 3.691890 4.075279 2.815434 3.523221 2.994352 3.465795 2.829054 3.836938 8.064913 5.431692 5.326766 4.977632 4.514310 4.106203 2.929543 5.874706 5.354654 4.416861 6.186419 4.801886 3.750093 4.274976 4.115423 4.039197 5.485380 5.817914 4.287133 5.122649 2.918253 5.167262 3.852685 4.480959 4.673440 4.001014 3.880567 4.317919 4.350649 4.090907 4.896975 4.737448 4.458135 5.015326 4.193268 4.230389 5.140519 4.180708 4.864103 4.475449 4.551610 5.272444 5.315532 3.123633 5.153499 4.559896 4.705601 4.677138 4.477138 4.719624 3.404689 5.925532 4.179760 3.716885 4.172211 3.900344 5.691562 5.030390 3.672265 5.882888 4.816840 3.510289 4.533696 3.473259 5.020582 4.992690 4.192596 3.948549 4.151676 3.959549 4.484931 4.922483 4.866698 5.287553 4.875325 5.462257 5.552796 5.702924 5.394908 5.417551 3.849658 4.361766 5.001310 4.509540 4.646122 5.303685 5.080918 6.818514 5.517228 5.010625 5.274843 4.945289 5.486313 4.215146 5.699535 5.648006 5.789350 5.397021 5.155116 5.671670 5.254169 5.208944 4.104618 4.234549 4.750069 5.553575 5.604901 4.628920 5.654062 4.249202 4.493669 5.409523 6.255262 5.220928 5.600390 4.439880 5.492767 4.949588 5.135209
6 2.525290 3.391756 2.867788 1.905071 3.889157 0.000000 2.347295 2.616411 2.435839 2.394774 2.076063 2.806164 2.325198 2.982589 2.335807 2.134583 2.115849 2.181032 1.580982 3.193477 2.945465 4.221045 3.045960 3.663038 3.822920 5.309287 2.587765 3.328191 3.064386 2.882113 2.900415 1.933796 2.884479 3.157205 2.962463 3.104891 3.219701 3.196235 3.529205 3.748573 2.597148 4.006024 2.515605 4.081998 3.081389 3.320859 2.653546 2.573073 2.180981 1.725817 3.657299 2.728199 1.603510 1.605009 2.510532 2.674061 2.049479 1.933366 1.767185 7.833900 6.374815 6.061777 5.187584 4.995448 6.154271 4.199066 5.125843 5.967614 5.216407 6.565016 6.024030 5.447497 5.774293 5.808440 4.746424 6.411222 5.834745 6.144835 5.365855 5.343612 6.243897 4.507530 6.372560 6.414295 5.486258 5.128409 6.228292 6.806205 6.039175 6.474634 6.306900 6.493439 6.483300 5.701540 5.629783 5.777259 6.569429 5.356900 4.380025 5.696051 5.519854 6.114200 5.386575 6.255323 5.404469 6.785839 5.825533 6.197803 5.833246 5.144579 6.595666 5.816007 6.299338 6.086075 6.012511 7.245956 6.333331 5.779855 6.838689 6.160755 5.196231 7.119013 6.737691 6.490297 6.551435 5.776331 5.416581 7.057200 6.082460 6.463604 5.985881 6.364525 6.924533 6.402881 6.275576 6.475112 7.524215 7.770878 6.549621 6.175680 6.463615 6.061561 6.777862 6.210332 6.169733 6.248082 8.071276 6.997061 6.112654 6.549635 6.611015 6.717388 6.328350 6.289122 6.498849 7.032580 6.389203 7.011047 6.249608 5.994365 6.648418 5.675073 6.412578 6.110944 6.441046 7.030801 6.020411 6.449374 5.875301 6.564426 6.953878 7.208607 5.907465 6.813117 5.954627 6.250460 5.817361 6.761643
7 2.553232 2.665379 2.840197 3.161292 3.984090 2.347295 0.000000 2.484116 1.901428 2.018294 2.429271 1.832549 1.593504 3.080098 3.102707 2.820998 3.013005 3.220586 3.264920 2.863256 3.058383 3.385345 1.826684 2.611740 2.722018 5.426907 2.050927 2.586861 2.920470 1.451310 3.337966 2.600393 2.433899 4.024492 2.609881 2.528639 3.079695 2.810972 2.994798 3.703546 2.954072 3.226988 2.332138 3.565532 2.926227 3.097444 2.402368 2.424535 2.231306 2.608592 3.458171 1.853626 3.004628 2.551524 2.463530 3.038490 2.482446 2.428128 2.823484 7.129315 6.136844 5.826485 4.455199 4.820437 5.713467 3.993457 4.521445 4.909465 5.118823 6.392452 5.329245 4.869264 4.798890 6.275566 4.562610 5.777852 4.987630 5.566312 5.346389 4.972010 5.488032 3.480896 5.537441 5.780570 4.645730 4.228379 5.568786 6.058064 5.269723 5.437684 5.398339 5.576776 5.606919 4.711677 5.214847 6.309643 6.233432 4.647391 4.466001 5.299660 4.898671 4.941083 4.642697 5.616153 4.285162 5.909193 4.627202 5.250647 5.062628 4.681961 6.500713 5.056222 5.948973 5.689261 5.326308 6.819478 5.275296 5.131015 5.872995 5.129907 4.782562 7.569659 6.170422 5.760784 5.822574 5.046243 4.972379 6.743024 5.399130 5.664924 5.727738 5.817301 6.372853 6.035176 5.799125 6.090286 6.960757 7.392395 5.845502 5.821193 5.690259 5.014625 6.079504 5.505583 5.773279 5.634028 7.155771 6.416185 5.718395 6.414511 6.545366 6.587750 6.354390 6.127457 6.162426 6.707926 5.873683 6.853571 6.463027 5.996881 6.371342 5.256578 5.956872 5.508503 5.855576 6.289225 5.981136 5.925906 5.537068 6.367139 6.226639 6.668323 5.383362 6.342854 5.636165 6.224682 5.827336 6.534668
8 2.407784 3.324407 3.471078 3.351492 2.975026 2.616411 2.484116 0.000000 3.377188 2.989914 3.094401 2.676403 2.880158 4.716118 4.460577 2.054171 2.216699 2.494391 3.404471 2.470294 2.867233 3.298796 2.316528 2.707169 2.728582 4.191620 2.479434 3.084786 2.384678 2.860763 3.402315 2.736440 2.801654 2.375965 1.837727 2.661702 2.458086 2.732887 3.391843 3.456409 3.187067 3.643567 2.799668 3.596750 3.340626 2.329391 3.196937 3.445271 2.944442 3.041755 5.001803 2.967393 3.223577 1.792100 2.194485 2.936817 2.589222 2.356401 3.106174 7.564832 5.756572 5.680058 4.548766 5.258646 5.213390 4.204494 5.850948 5.333980 4.462452 5.976310 5.201685 4.922626 4.747274 4.871086 4.365317 5.863803 5.726028 4.985241 5.369104 4.676892 5.764791 4.111090 5.553098 5.920752 5.089505 4.291281 5.512744 5.649101 5.227929 5.731982 5.792784 5.676011 6.007564 5.170854 5.071448 5.660724 5.167362 5.334719 5.022210 5.943250 5.123466 5.364125 4.306835 5.898917 4.686820 5.884557 5.215621 5.516476 5.586743 4.916536 7.012948 5.095217 5.229269 5.618548 5.151496 6.938343 5.553587 4.779587 6.250526 5.541487 4.733793 6.578880 5.547000 6.062231 6.412049 5.177206 5.275182 6.307543 5.510772 5.698854 5.128233 5.416567 5.986712 5.494120 6.102557 6.051071 6.661464 6.869113 5.885315 5.075407 5.212580 4.919176 5.426042 5.356164 5.392407 5.486853 7.274282 6.268454 5.704721 5.944878 5.784045 6.180742 5.682679 6.373532 6.159590 6.682577 6.143393 6.302546 6.698889 6.341714 6.261671 4.627097 5.311635 5.152123 5.881963 6.291010 5.467782 5.976578 5.118520 5.512092 5.992421 6.687761 5.541889 6.153403 5.307447 5.761403 5.370791 6.248510
9 2.964349 2.692454 3.561492 3.469290 4.438478 2.435839 1.901428 3.377188 0.000000 2.078562 2.647378 2.084709 2.090094 2.506170 3.053104 3.341166 3.368473 3.309419 3.397279 3.209575 2.854167 4.123333 2.556213 3.463381 3.471014 6.143103 2.901133 2.772690 3.454145 1.761398 3.712055 2.961549 2.461321 4.410115 3.222507 2.917917 3.548361 3.192667 2.713417 3.803109 2.790737 3.359848 2.792668 3.624285 2.805100 3.523221 2.341463 1.972976 2.159228 2.568118 3.163938 2.728548 2.885034 3.188169 2.516673 3.318327 2.245417 3.025447 2.906515 6.465306 5.989344 5.376263 3.858525 4.312292 5.684561 4.016514 3.654261 4.853786 4.920648 6.211462 5.490889 4.819919 4.746153 6.559139 4.734597 5.491675 4.221880 5.703112 5.062245 5.059852 5.187620 3.541639 5.831816 5.840862 5.047046 4.160485 5.559471 6.545390 5.700999 5.754162 5.479701 5.876937 5.603338 4.672938 5.104797 6.260499 6.642926 4.156400 3.939372 5.031695 4.568458 4.819461 4.987103 5.317833 4.419925 6.161740 4.775867 5.354493 4.822094 5.188844 6.304627 4.875406 6.466607 5.761316 5.574651 6.785508 5.399065 5.084278 5.677202 5.251292 5.173458 8.070790 6.620824 5.736186 6.105240 5.073685 4.855729 7.108847 5.407790 5.974579 5.535179 5.795539 6.422597 5.970256 5.730502 6.109976 7.238385 7.685095 5.809049 6.095823 6.160738 5.379849 6.388040 5.537921 6.035784 5.717606 7.097707 6.703414 5.786460 6.390914 6.565026 6.638959 6.374987 6.123971 6.106502 6.838096 5.837551 7.276806 6.530928 6.091686 6.435585 5.380869 6.271688 5.653954 5.860228 6.323025 6.144287 6.062902 5.863832 6.745060 6.407926 6.707190 5.437169 6.554463 5.800050 6.316188 5.970151 6.709953
10 2.548898 2.501210 2.938668 2.723190 4.045985 2.394774 2.018294 2.989914 2.078562 0.000000 2.473556 2.391547 2.030094 3.587774 3.284471 2.795339 3.231844 3.017263 3.055623 2.678810 2.357435 3.525846 1.970009 2.602862 2.807012 5.671949 2.334800 2.739836 3.109492 1.586675 3.256975 2.198792 2.886679 4.247725 2.937842 1.965337 3.284305 2.938967 2.793311 3.724458 2.189864 3.250984 1.810175 3.464253 1.982370 3.321337 2.508667 1.164114 2.179310 1.849403 2.851660 2.267994 2.256827 2.905103 1.858126 2.493848 1.742746 2.387310 1.997640 6.891413 6.314766 5.582228 4.210593 3.594604 5.676764 3.741169 3.494714 4.242207 5.288042 6.060516 5.572363 4.447100 4.530392 5.796916 3.685937 5.474912 4.371716 5.601046 5.230618 4.861081 4.860305 3.106587 5.534476 6.084291 4.331470 3.918371 5.527559 5.983946 5.340135 5.377592 5.621554 5.668603 5.876446 4.377430 4.373371 6.210799 6.210576 4.068470 3.190656 5.158023 4.354284 4.846440 4.348426 5.175411 3.961479 6.072673 4.485485 5.370423 4.591693 4.355287 5.957915 4.572710 6.254593 5.309836 4.968473 6.574953 4.934159 4.796942 5.970608 5.190734 4.236680 6.986610 6.272758 5.668146 5.456761 4.505782 4.300383 6.717182 5.088965 5.782265 5.608530 5.784743 6.276721 5.880140 5.933639 6.250951 7.418810 7.745674 6.207932 5.961986 6.132458 5.320895 6.493948 5.924173 5.713613 6.007902 7.549294 6.590327 5.733587 6.243329 6.332897 6.142243 6.014766 6.223967 6.081114 7.029992 6.028081 7.020745 6.220247 5.747503 6.250777 5.668998 6.291359 5.795985 5.857282 6.631907 5.986473 5.846472 5.660010 6.370180 6.311121 6.532799 5.523149 6.782001 5.844873 6.274939 5.935317 6.762193
